"id";"name";"num_affiliation";"primary_color";"secondary_color";"city"
92;"C.S. LES ANDELYS";500163;"#dc143c";"#000000";""
93;"O. ST QUENTIN";500164;"#dc143c";"#ffffff";""
94;"A.C. CAMBRAI";500165;"#FFD41C";"#000000";""
95;"J.S. AUDUNOISE";500166;"#FFD41C";"#000000";""
96;"U. LORRAINE MOYEUVRE GRANDE";500167;"#dc143c";"#092669";""
97;"CERC.S. STIRING WENDEL";500168;"#dc143c";"";""
98;"F.C. HAGONDANGE";500169;"#dc143c";"#000000";""
99;"U.S. RUSSANGE";500171;"#dc143c";"#ffffff";""
100;"F.C. PARGNY S/SAULX";500173;"#dc143c";"#092669";""
101;"U.S. MUNICIPALE SENLIS";500174;"#dc143c";"";""
102;"C.S. ORNE AMNEVILLE";500175;"#006400";"#ffffff";""
103;"S.C. LOURCHES";500176;"#000000";"#ffffff";""
104;"S. REUNIS CLAYETTOIS";500177;"";"";""
105;"C.S. HONFLEUR";500180;"#092669";"#ffffff";""
106;"U.S. NOEUXOISE";500182;"#FFD41C";"#092669";""
107;"U.S. MARQUETTE";500183;"#092669";"#FFD41C";""
108;"U.S. PONTORSON";500184;"#092669";"#dc143c";""
109;"ST AUBIN F.C.";500185;"#092669";"";""
110;"L  ECLAIR NEUFCHATEL";500188;"#006400";"";""
111;"R.C. STRASBOURG ALSACE";500191;"#092669";"#ffffff";""
112;"F.C.S.R. HAGUENAU";500197;"#dc143c";"#092669";""
113;"A.S. ALTKIRCH";500198;"#FFD41C";"#000000";""
114;"F.C. MONSWILLER";500199;"#000000";"#ffffff";""
115;"U.S. WITTENHEIM";500200;"#ffffff";"#000000";""
116;"F.C. BISCHWILLER";500204;"#ffffff";"#092669";""
117;"F.C. 1915 MASEVAUX";500205;"#006400";"#ffffff";""
118;"F.C. KRONENBOURG STRASBOURG";500206;"#ffffff";"#092669";""
119;"A.S. BENFELD";500207;"#dc143c";"#ffffff";""
120;"O.G.C. NICE COTE D  AZUR";500208;"#dc143c";"#000000";""
121;"F.C. GIRONDINS DE BORDEAUX";500211;"#ffffff";"";""
122;"U.S. FORBACH";500212;"#092669";"";""
123;"U. LORRAINE ROMBAS";500214;"#006400";"#dc143c";""
124;"S.C. BERNAY";500216;"#092669";"#ffffff";""
125;"BRETIGNY FOOT C.S.";500217;"#092669";"";""
126;"ENT.S. SALINS DE GIRAUD";500219;"#ffffff";"#092669";""
127;"A.J. AUXERRE";500220;"#ffffff";"#092669";""
128;"CLUB ATHLETIQUE DE PARIS 14";500221;"#4b0082";"#000000";""
129;"O. PAVILLAIS";500223;"#dc143c";"";""
130;"A.S. ST ETIENNE";500225;"#006400";"#ffffff";""
131;"LIZEEN C.A.";500231;"#ffffff";"#000000";""
132;"ASM BELFORTAINE FC";500236;"#092669";"";""
133;"U.S. CHAUNY";500239;"#FFD41C";"#092669";""
134;"AMIENS SPORTING CLUB FOOTBALL";500240;"#ffffff";"";""
135;"AM. DE MALAUNAY";500243;"#dc143c";"";""
136;"CERC. A. PONT-AUDEMER";500244;"";"";""
