"id";"name";"num_affiliation";"primary_color";"secondary_color";"city"
8212;"BALAN U.S.";521017;"#092669";"";""
8213;"A.S. LA RETOURNE";521020;"#FF6A00 ";"#000000";""
8214;"BAZEILLES U.S.";521023;"#dc143c";"";""
8215;"ET.S. ST THEGONNEC";521030;"#dc143c";"#000000";""
8216;"ST. MELLACOIS";521031;"#092669";"#ffffff";""
8217;"LES ECUREUILS DE ROUDOUALLEC";521032;"#dc143c";"#ffffff";""
8218;"ET.S. MERIADEC";521034;"#FFD41C";"#000000";""
8219;"COUDRAY O.S.";521035;"#dc143c";"";""
8220;"AMIS S. GUILLAUMOIS PONTCHATEAU";521036;"#dc143c";"#ffffff";""
8221;"U.S. ST AUBIN DES CHATEAUX";521038;"#092669";"#ffffff";""
8222;"A.S. CHARCHIGNE CHEVAIGNE LE RIBAY";521043;"#dc143c";"#ffffff";""
8223;"VILLEMOISSON F.C.";521045;"#FFD41C";"#092669";""
8224;"PARISIENNE ESP.S.";521046;"#dc143c";"#000000";""
8225;"DUGNYSIEN S.C.";521047;"#dc143c";"#000000";""
8226;"A.S. DE CAISSARGUES";521050;"#dc143c";"#000000";""
8227;"A.S. ST PRIVAT";521052;"#FFD41C";"#dc143c";""
8228;"ST. DE VALLAURIS";521053;"#000000";"#ffffff";""
8229;"U.S. OLLIOULAISE";521055;"#000000";"#ffffff";""
8230;"SOLIDARITE DE LESTRADE";521060;"#092669";"#ffffff";""
8231;"LE GELDAR DE KOUROU";521062;"#ffffff";"#092669";""
8232;"U.S. BETTENDORF";521063;"#dc143c";"";""
8233;"F.C. BOERSCH";521064;"#dc143c";"#000000";""
8234;"ALERTE S. DE FONDETTES";521070;"#006400";"#ffffff";""
8235;"U.S. BUXEUIL";521071;"#ffffff";"#dc143c";""
8236;"C.S. EGUZON";521075;"#FFD41C";"#000000";""
8237;"U.S. LES TROIS MOUTIERS";521082;"#006400";"#dc143c";""
8238;"ALOUETTE FOY.C. RIV.GAUCH.LIMOGE";521083;"#092669";"#ffffff";""
8239;"ENT.S. DANNEMARIE";521087;"#ffffff";"#dc143c";""
8240;"U.S. PERRIGNY CONLIEGE";521091;"#092669";"#000000";""
8241;"SECTION S. FOY.RUR. D  HUCQUELIER";521099;"#FFD41C";"#000000";""
8242;"F.C. LOON PLAGE";521101;"#092669";"#dc143c";""
8243;"O.S.C. DE VITRY";521103;"#FFD41C";"#dc143c";""
8244;"U.S. FLIZE";521107;"#dc143c";"";""
8245;"A.S. VALANJOU";521110;"#006400";"#ffffff";""
8246;"A.S. PLELO";521111;"#dc143c";"#000000";""
8247;"A.S. BERRIC LAUZACH";521113;"#092669";"";""
8248;"A.J.S. FRAMBALDEENNE";521116;"#FFD41C";"#000000";""
8249;"U.S. PLOUGONVELIN";521118;"#092669";"";""
8250;"SP.C. SOURNAIS";521120;"#ffffff";"#dc143c";""
8251;"U.S. CANTENAY EPINARD";521121;"#006400";"#000000";""
8252;"LA FONDELIENNE DE CARENTOIR";521127;"#092669";"#ffffff";""
8253;"A.S.C. ST MEDARD DE DOULON NANTES";521131;"#006400";"#dc143c";""
8254;"U.S. HAUTEFORT";523527;"#092669";"#FFD41C";""
8255;"STAR C. FONTAINE AU PIRE";523531;"#FFD41C";"#092669";""
8256;"ENT.S. FRELINGHINOISE";523532;"#FFD41C";"#092669";""
8257;"E.S. SAINT OMER RURAL";523533;"#dc143c";"";""
8258;"U.S. INTERCOMMUNALE D  EYNESSE";523544;"#dc143c";"#092669";""
8259;"A.J.L. DE CAESTRE";523555;"#006400";"#ffffff";""
8260;"EVEIL DE LYON";523565;"#092669";"#ffffff";""
8261;"ET.S. VILLENEUVE LOUBET";523567;"#FFD41C";"#000000";""
8262;"LES LABOURDINS D  USTARITZ";523568;"#092669";"#dc143c";""
8263;"F.C. ST GIRONS";523580;"#092669";"#FFD41C";""
8264;"A.S. LONGUEVILLE";523586;"#ffffff";"";""
8265;"R.C. DES BOIS BLANCS LILLE";523587;"#092669";"#ffffff";""
8266;"J.S. WENHECK";523597;"#092669";"#ffffff";""
8268;"NIMES LASALLIEN";521138;"#FF6A00 ";"#000000";""
8269;"E.S. BARJACOISE";521148;"#FFD41C";"#dc143c";""
8270;"F.C. REVESTOIS";521151;"#006400";"#FFD41C";""
8271;"C.O. DILLONS STE THERESE";521153;"#092669";"#ffffff";""
8272;"J.S. LE MARIGOT";521154;"#092669";"#dc143c";""
8273;"A.S. FORSTFELD";521155;"#ffffff";"#092669";""
8274;"F.C. OLTINGUE";521156;"#ffffff";"";""
8275;"U. S. MEAULNE-BRAIZE";521158;"#092669";"#000000";""
8276;"FRATERNELLE AM. LE CENDRE";521161;"#006400";"#ffffff";""
8277;"A.S. CHAUDES AIGUES";521165;"#dc143c";"";""
8278;"U.S. SIRANAISE";521166;"#dc143c";"#000000";""
8279;"A.S. GEVREY CHAMBERTIN";521167;"#006400";"#FFD41C";""
8293;"U.S. DONZENACOISE";521180;"#006400";"#ffffff";""
8294;"U.S. VALMONT";521188;"#006400";"#ffffff";""
8295;"A.S. DE FONTAINE";521191;"#092669";"#ffffff";""
8296;"U.S. MARGENCEL";521193;"#dc143c";"#ffffff";""
8297;"U.S. MUNICIPALE PIERRE BENITE";521194;"#092669";"#FFD41C";""
8298;"LA CONCORDE DE BUCY L/PIERREPONT";521201;"#dc143c";"#ffffff";""
8299;"MALADRERIE O.S.";521207;"#dc143c";"#696969";""
8300;"AM.S. LA BOUILLE MOULINEAUX";521209;"#006400";"#ffffff";""
8301;"A.S. BOUCE";521210;"#092669";"#dc143c";""
8302;"U.S. TILLEULAISE";521212;"#092669";"";""
8303;"A.S. ALLOUVILLE BELLEFOSSE";521219;"#006400";"#000000";""
8304;"A.S.C. ROMAGNE";521221;"#092669";"#dc143c";""
8305;"GRPE ST YVES ST JUST";521223;"#FFD41C";"#006400";""
8306;"U.S. LANVALLAY F.";521224;"#4b0082";"#000000";""
8307;"C.S. ST-GAUDENCE";521228;"#FFD41C";"#000000";""
8308;"A.S. MONTERBLANC";521230;"#006400";"";""
8309;"U.S. CROSMIEROISE";521236;"#006400";"#ffffff";""
8310;"IGNY A.F.C.";521237;"#dc143c";"";""
8311;"CTRE EDUC. PALAVAS";521246;"#092669";"#ffffff";""
8312;"CAZAUX O.";521250;"#FFD41C";"#000000";""
8313;"PAREMPUYRE F. C.";521254;"#dc143c";"#000000";""
8314;"REV. S. ST SERNIN";521258;"#dc143c";"#092669";""
8315;"STE LA JEUNESSE D  YVRAC";521259;"#dc143c";"#ffffff";""
8316;"AV.S. DES AYGALADES CASTELLAS";521264;"#006400";"#ffffff";""
8317;"F.C. SCHEIBENHARD";521271;"#006400";"#ffffff";""
8318;"U.S. DACHSTEIN";521272;"#006400";"#092669";""
8319;"ET. DE L  OUEST";521274;"#FF6A00 ";"#000000";""
8320;"SILVER STAR";521275;"#092669";"#ffffff";""
8321;"A.S. RAEDERSHEIM";521276;"#ffffff";"#000000";""
8322;"A.S. KURTZENHOUSE";521277;"#dc143c";"#000000";""
8323;"A.S. NIEDERNAI";521278;"#FFD41C";"#092669";""
8324;"U.S. REIPERTSWILLER";521281;"#dc143c";"#ffffff";""
8325;"U.S. SCHLEITHAL";521282;"#FFD41C";"#000000";""
8326;"A.S. BERRWILLER HARTMANNSWILLER";521283;"#092669";"";""
8327;"U.S. AURACOISE";521289;"#4b0082";"#000000";""
8328;"A.S. VILLEBRETOISE";521296;"#dc143c";"#000000";""
8329;"U.S. SAN-MARTINOISE";521300;"#FF6A00 ";"#000000";""
8330;"VIGILANTE DE ST PAL DE MONS";521301;"#FFD41C";"";""
8331;"AV. ST. VALENTIN";521303;"#092669";"";""
8332;"GAILLARDE S. DE MONTHODON";521305;"#dc143c";"";""
8333;"S.C. SARDENTAIS";521318;"#FFD41C";"";""
8334;"AV.S. LE PUY ST BONNET";521320;"#dc143c";"#000000";""
8335;"A.S. BRIATEXTE";521335;"#006400";"#FF6A00 ";""
8336;"F.C. LAUNAGUET";521342;"#dc143c";"#ffffff";""
8337;"A.S. MONFERRAN SAVES";521344;"#006400";"#000000";""
8338;"ET.S. STE EULALIE VILLESEQUE";521348;"#006400";"#ffffff";""
8339;"ET.S. DE ST GERMAIN";521349;"#092669";"#ffffff";""
8340;"C.S. CRECY EN PONTHIEU";521361;"#092669";"#ffffff";""
8341;"A.S. RANG DU FLIERS";521362;"#092669";"#ffffff";""
8342;"U.S. LESTREM";521366;"#006400";"#ffffff";""
8343;"F. C. PUTANGES LE LAC ";521375;"#dc143c";"#ffffff";""
8344;"F.U.S.C. DE BOIS-GUILLAUME";521379;"#006400";"";""
8345;"U.S. NOYAL CHATILLON";521382;"#092669";"";""
8346;"HERMINE DE RENAC";521387;"#ffffff";"";""
8347;"ET. DU LEFF BOQUEHO";521390;"#092669";"#ffffff";""
8348;"ET.S. GUISSENYENNE";521393;"#dc143c";"";""
8349;"A.S. JUBLAINS";521394;"#092669";"#ffffff";""
8350;"ST HERBLAIN O.C.";521399;"#FFD41C";"#006400";""
8351;"LA FRANCAISE DE PONTVALLAIN";521401;"#dc143c";"";""
8352;"C.S. SILLE LE PHILIPPE";521402;"#dc143c";"#000000";""
8353;"J.S. ST ETIENNE DU GRES";521407;"#FFD41C";"#000000";""
8354;"ET.S.CUCURONNAISE";521410;"#dc143c";"";""
8355;"U.S. EGUILLENNE";521411;"";"";""
8356;"U.S. GOULEDOISIENNE";521422;"#dc143c";"#ffffff";""
8357;"A.S. KALHAUSEN";521427;"#092669";"#ffffff";""
8358;"A.S. CUINCY";521437;"#FFD41C";"#000000";""
8359;"J.S. ECOURT ST QUENTIN";521439;"#006400";"";""
8360;"ET.S. STE CATHERINE";521442;"#092669";"#000000";""
8361;"U. S. GRABELLOISE OMNISPORTS";521456;"#092669";"#ffffff";""
8362;"AURORE ST GILLOISE";521457;"#FFD41C";"#dc143c";""
8363;"U.S. MONTELIER";521473;"#dc143c";"#ffffff";""
8364;"A.S. CUNLHATOISE";521491;"#ffffff";"#092669";""
8365;"A.S. ST JUST LE MARTEL";521505;"#dc143c";"#ffffff";""
8366;"U. S. LOIRE-SAINT-ROMAIN FOOTBALL";521509;"#dc143c";"#000000";""
8367;"ENT.S. L  AUBANCE BRISSAC QUINCE";521512;"#dc143c";"#000000";""
8368;"CHEVIGNY SAINT SAUVEUR FOOTBALL";521525;"#092669";"";""
8369;"J.S. ANCY S/MOSELLE";521527;"#006400";"#ffffff";""
8370;"A.S. FRUGEOISE";521530;"#dc143c";"#000000";""
8371;"A.S.AM. CLOCHEMERLE VAUX BEAUJOL";521545;"#FFD41C";"#006400";""
8372;"F.C. BOGNY S/MEUSE";521546;"";"";""
8373;"A.S. PFAFFENHEIM";521550;"#dc143c";"#ffffff";""
8374;"ESP.S. DE MONTILLIERS";521555;"#006400";"#ffffff";""
8375;"F.C. BARPAIS";521556;"#FFD41C";"#092669";""
8376;"A.S. MONTVICQUOISE";521559;"#006400";"";""
8377;"INTERCOM STE S. PLEURE";521560;"#dc143c";"";""
8378;"A.S. MAS GRENIER";521564;"#006400";"#ffffff";""
8379;"A.S. AVELINOISE";521576;"#dc143c";"";""
8380;"ST MARCEL F.";521578;"#092669";"";""
8381;"A.S. UEBERSTRASS LARGITZEN";521588;"#FFD41C";"#000000";""
8382;"A.S. LUSSAT";521593;"#dc143c";"#000000";""
8383;"F.C. SEICHAMPS";521594;"#dc143c";"#ffffff";""
8384;"ENT. LANDORTHE LABARTHE ESTANCARBON SAVARTHES";521599;"#006400";"#dc143c";""
8385;"A.S. STEPHANOISE";521601;"#FFD41C";"#006400";""
8386;"O* LAUTRECOIS";521602;"#006400";"#FFD41C";""
8387;"U.S. MARQUILLIES";521613;"#ffffff";"#092669";""
8388;"ET. S. CAZOULS MARAUSSAN MAUREILHAN";521617;"#006400";"#000000";""
8389;"C.S. GONDECOURTOIS";521622;"#dc143c";"#ffffff";""
8390;"F.C. BALBRONN";521624;"#dc143c";"#000000";""
8391;"ASI AVENIR FOOTBALL";521633;"#092669";"";""
8392;"F.C. BENNWIHR";521635;"#092669";"";""
8393;"J.S. RENESCUROISE";521642;"#ffffff";"";""
8394;"F.C. WETTOLSHEIM";521646;"#dc143c";"";""
8395;"E.S. DE FAGNIERES";521648;"#ffffff";"#dc143c";""
8396;"S. MUNICIPAUX TAINTRUX";521660;"#092669";"";""
8397;"A.S. MUSAU STRASBOURG";521664;"#dc143c";"#000000";""
8398;"A.S. PRESQU  ILE GIENS";521673;"#092669";"#ffffff";""
8399;"A.S. ST PAULET";521674;"#FF6A00 ";"#000000";""
8400;"U.S.ART. LA MARINE TOULON";521680;"#092669";"#ffffff";""
8401;"BALLON S. COURNONSECOIS";521681;"#FFD41C";"#000000";""
8402;"ET.S. VERNETOISE";521686;"#dc143c";"#ffffff";""
8403;"S.C. OCTEVILLE S/MER";521692;"#092669";"#dc143c";""
8404;"A.S. ST JORES";521699;"#092669";"#000000";""
8405;"A. S. SAINT OVIN";521700;"#006400";"#ffffff";""
8406;"BUZANCY S.O.S.";521702;"#FFD41C";"#000000";""
8407;"AM.S. LIVRE MECE";521705;"#dc143c";"#000000";""
8408;"CERC.O. LAIGNE ST-GERVAIS";521706;"#006400";"#ffffff";""
8409;"U.S. CIGNE";521709;"#FFD41C";"#000000";""
8410;"PETIT AUVERNE S.";521711;"#092669";"#ffffff";""
8411;"ENT.S. COLPO";521715;"#FFD41C";"#000000";""
8412;"AM.S. ST MALO DE PHILY";521721;"#dc143c";"#000000";""
8413;"U.S. MOZAC";521724;"#006400";"#ffffff";""
8414;"A.S. DE ST LOUP";521725;"#FFD41C";"#092669";""
8415;"AM.S. INTERC. DE LA VOUGE";521727;"#092669";"#ffffff";""
8416;"U.S. MAREY CUSSEY";521729;"#dc143c";"#ffffff";""
8417;"MUNI SP. AUTHON DU PERCHE";521730;"#ffffff";"";""
8418;"MOUILLERON LE CAPTIF SP.";521734;"#dc143c";"#000000";""
8419;"AM.RUR. CHERVEUX";521736;"#092669";"#ffffff";""
8420;"GIVRAND L  AIGUILLON F. C.";521737;"#FF6A00 ";"#dc143c";""
8421;"L.ASSOCIES GENTE";521750;"#006400";"#000000";""
8422;"A.M.S. DE STE NEOMAYE ROMANS";521751;"#dc143c";"#ffffff";""
8423;"AM.S. MIGNALOUX BEAUVOIR";521755;"#ffffff";"#000000";""
8424;"AM.S. BREUILLET";521758;"#006400";"#ffffff";""
8425;"A.S.C. LONGEVILLE AMATHAY";521764;"#006400";"";""
8426;"A.S. BREUREY LES FAVERNEY";521767;"";"";""
8427;"U.S. LES FINS";521771;"#dc143c";"#ffffff";""
8428;"U.S. LES QUATRE MONTS";521774;"#FFD41C";"#092669";""
8429;"F.C. RAHLING";521777;"#dc143c";"#ffffff";""
8430;"CERC.S. VEYMERANGE";521780;"#006400";"#ffffff";""
8431;"A.S. ST JULIEN LES METZ";521781;"#006400";"";""
8432;"F.C. AMEREY XERTIGNY";521785;"#ffffff";"#dc143c";""
8433;"OLYMPIC ST CHARLES HAUCOURT";521786;"#092669";"#ffffff";""
8434;"INDEPENDANTE BLACHEROISE";521792;"#FFD41C";"#000000";""
8435;"ESB FOOTBALL MARBOZ";521795;"#dc143c";"#ffffff";""
8436;"F.C. PRIAY";521796;"#092669";"#dc143c";""
8437;"F.C. ST ETIENNE";521798;"#dc143c";"#FFD41C";""
8438;"ST ROMAIN LES ATHEUX SP.";521800;"#FF6A00 ";"";""
8439;"LE RHINS S. ST VICTOR";521801;"#FFD41C";"";""
8440;"A.S. BAILLEUL SIRE BERTHOULT";521804;"#FFD41C";"#000000";""
8441;"S. MUNICIPAL PETITE SYNTHE";521806;"#dc143c";"#ffffff";""
8442;"LA PATRIOTE BLENDECQUES";521809;"#FFD41C";"#000000";""
8443;"U.S. HOUDAIN";521810;"#dc143c";"#ffffff";""
8444;"AM.S. THIVENCELLE";521811;"#dc143c";"#ffffff";""
8445;"U.S. ESQUELBECQ";521813;"#092669";"#ffffff";""
8446;"ET.S. MUIZONNAISE";521815;"#ffffff";"#006400";""
8447;"U.S. INTERCOMMUNALE DE LA BLAISE";521821;"#4b0082";"#000000";""
8448;"C.S. MONTESCOURT LIZEROLLES";521828;"#092669";"#ffffff";""
8449;"ENT.S. VAL DE L  ORNE";521837;"#dc143c";"#000000";""
8450;"A.S. VAIGES";521840;"#dc143c";"";""
8451;"A.S.C. ESCOUBLAC";521841;"#ffffff";"#092669";""
8452;"U.S. COGLES";521843;"#FFD41C";"#006400";""
8453;"U.S. GOUDELINAISE";521844;"#dc143c";"";""
8454;"J.S. ST THONAN";521848;"#006400";"#dc143c";""
8455;"A.S. GESTEL";521851;"#dc143c";"#000000";""
8456;"U.S. BAGUER MORVAN";521853;"#FFD41C";"#000000";""
8457;"A. ST PIERRAISE EPINIAC";521856;"#FFD41C";"#000000";""
8458;"AM.LAIQ. TRELAT TADEN";521858;"#006400";"#ffffff";""
8459;"ALFORTVILLE US";521869;"#092669";"";""
8460;"SUCY F.C.";521870;"#092669";"";""
8461;"U.S. CAP D  AIL";521872;"#FFD41C";"#000000";""
8462;"A.C. ALIGNANAIS";521880;"#dc143c";"#000000";""
8463;"S.C. MANDUELLOIS";521883;"#006400";"#ffffff";""
8464;"U.S. CHEMINOTS GRANDE BASTIDE";521890;"#FFD41C";"#000000";""
8465;"U.S. LAGORCE";521894;"";"";""
8466;"U.S.C. LEOGNAN";521895;"#006400";"#000000";""
8467;"A.S. MAURRINOISE";521896;"#092669";"#ffffff";""
8468;"F. C. PESSAC ALOUETTE";521899;"#FFD41C";"#000000";""
8469;"J. VIEUX FORT";521903;"#092669";"#ffffff";""
8470;"A.S. ST PIERRAISE";521905;"#006400";"#ffffff";""
8471;"F.C. DAMBACH NEUNHOFFEN";521909;"#092669";"";""
8472;"A.S. ST PAL EN CHALENCON";521914;"#092669";"#ffffff";""
8473;"A.S. DE SANSSAT";521917;"#006400";"#ffffff";""
8474;"AULNAT SP.";521920;"#FFD41C";"#000000";""
8475;"ET.S. JOUY ST PREST";521926;"#092669";"#ffffff";""
8476;"A.S. LES BORDES";521932;"#092669";"#FFD41C";""
8477;"F.C. NACHAMPS";521934;"#092669";"#ffffff";""
8478;"F. C. PAYS DE MAREUIL";521936;"#006400";"#ffffff";""
8479;"A.S. CHAMBERTOISE";521937;"#092669";"#ffffff";""
8480;"ESPE.S. LAPLEAUCOISE";521941;"#dc143c";"#006400";""
8481;"U.S. LA CHAPELLE BATON";521943;"#dc143c";"";""
8482;"AS ORCHAMPS - VAL DE VENNES";521947;"#dc143c";"#000000";""
8483;"A.S. FONTAINE LES LUXEUIL";521952;"#dc143c";"#000000";""
8484;"U.S. DES ECORCES";521953;"#FFD41C";"#000000";""
8485;"ET.S. LEROUVILLE";521956;"#ffffff";"";""
8486;"F.C. PIERREVILLERS";521958;"#dc143c";"#092669";""
8487;"ENT.S. RENAISSANCE REMELING";521959;"#092669";"#000000";""
8488;"U.S. PERS. JUSSIENNE";521963;"#ffffff";"";""
8489;"A.S.J. FOOTBALLEURS DOMENOIS";521966;"#dc143c";"#000000";""
8490;"A.S. MONTHOIS";521981;"#092669";"#FFD41C";""
8491;"A.S. IFS";521982;"#006400";"#ffffff";""
8492;"NOUVEAU GPE S. VER S/MER";521984;"#006400";"";""
8493;"A.S.C. DU TERTRE";521988;"";"";""
8494;"ST. ST SAUVEURAIS";521989;"#dc143c";"#000000";""
8495;"AM.S. STE ANNE S/VILAINE";521998;"#dc143c";"#000000";""
8496;"ENT.S. JARZE";521999;"#006400";"#ffffff";""
8497;"AV. ST VINCENT S/OUST";522004;"#FFD41C";"#000000";""
8498;"A.S. MULSANNE - TELOCHE";522008;"#006400";"#000000";""
8499;"LA ST SEBASTIEN CADEN";522016;"#006400";"#ffffff";""
8500;"USSM RIEUX THEHILLAC";522017;"#FFD41C";"#000000";""
8501;"U.S. TREMOREL";522021;"#FFD41C";"#000000";""
8502;"ET.S. LOCMARIA PLOUZANE";522022;"#FFD41C";"#006400";""
8503;"A.S. SANTEC";522023;"#006400";"#000000";""
8504;"C.S. ILLIFAUT";522025;"#006400";"#ffffff";""
8505;"A.S. ST POTAN";522027;"#FFD41C";"#000000";""
8506;"CLEUNAY C.P.B. RENNES";522028;"#4b0082";"#006400";""
8519;"S.C. BEAUCOUZE";522033;"#ffffff";"#dc143c";""
8520;"U.S. OIZE";522035;"#FFD41C";"#000000";""
8521;"A.S. PARNE S/ ROC";522036;"#092669";"";""
8522;"A.S. CHEMAZE";522037;"#ffffff";"";""
8523;"ET. ST ARZEL PLOUARZEL";522041;"#dc143c";"#000000";""
8524;"U.S. ST DONAN";522043;"#dc143c";"#ffffff";""
8525;"C.S. SABLONS GAZONFIER";522048;"#FFD41C";"#092669";""
8526;"U.S. ENTRAMMAISE";522049;"#FF6A00 ";"";""
8527;"L  ARGENTIERE SP.";522064;"#ffffff";"#092669";""
8528;"U.S. AVIGNONNAISE";522070;"#dc143c";"#000000";""
8529;"F.C. CHARETTE";522078;"#4b0082";"#ffffff";""
8530;"C.S. L  ESPINASSE CHAUVIGNY";522087;"#092669";"#ffffff";""
8531;"U.S. DE L  OIE";522088;"#092669";"#ffffff";""
8532;"U.S. GRIGNON";522095;"";"";""
8533;"U.S. ST PAUL DE LOUBRESSAC";522106;"#006400";"#ffffff";""
8534;"F.C. PAVIEN";522111;"#dc143c";"#FFD41C";""
8535;"F.C. DE FOIX";522121;"#dc143c";"#FFD41C";""
8536;"U.S. DEGAGNACOISE";522122;"#ffffff";"#4b0082";""
8537;"ESSOR DE BOUSSAC";522123;"";"";""
8538;"S.A. AUTERIVAIN";522124;"#dc143c";"#092669";""
8539;"L  ET. AUSSONNAISE";522125;"#ffffff";"#dc143c";""
8540;"A.S. DOMPIERRE";522126;"#dc143c";"";""
8541;"F.C.AM.LAIQ. HINGES";522128;"#006400";"#ffffff";""
8542;"J.S. AVESNELLES";522132;"#dc143c";"#ffffff";""
8543;"U.S. BLERIOT PLAGE CALAIS";522134;"#006400";"#FFD41C";""
8544;"U.S. ENGLEFONTAINE";522135;"#ffffff";"";""
8545;"AM.S. PETITE FORET";522137;"#092669";"";""
8546;"U.S. PRISCHES";522138;"#092669";"";""
8547;"A.S. SAULT LES RETHEL";522144;"#006400";"#000000";""
8548;"AM.S. LANDEVIEILLE";522162;"#ffffff";"#092669";""
8549;"LIMOGES LANDOUGE F.";522163;"#dc143c";"#ffffff";""
8550;"AM.S. BIEVILLE BEUVILLE";522168;"#dc143c";"";""
8551;"J.S. ABERGEMENT STE COLOMBE";522181;"#006400";"#000000";""
8552;"F.C. FONTAINE LE COMTE";522182;"#006400";"#000000";""
8553;"U.S. CARTIGNIES";522198;"#000000";"";""
8554;"AM.S. ST BONNET EN BRESSE";522210;"#092669";"#FFD41C";""
8555;"C.A. CELLES";522213;"#092669";"#ffffff";""
8556;"C.S. WITTRING";522222;"#dc143c";"";""
8557;"CATENA C. CALAIS";522223;"#FFD41C";"#000000";""
8558;"U.S. VRERE ST LEGER DE MONTBRUN";522232;"#dc143c";"#000000";""
8559;"J.S. ISTREENNE";522238;"#000000";"#ffffff";""
8560;"ENT. BOE BON ENCONTRE";522239;"#006400";"#ffffff";""
8561;"F.C. CASTELJALOUX";522240;"#dc143c";"#ffffff";""
8562;"A.S. ESCOUTOUX";522241;"#092669";"#ffffff";""
8563;"A.S. LIMOGES ROUSSILLON";522242;"#dc143c";"#ffffff";""
8564;"C.S. BETTON";522248;"#ffffff";"";""
8565;"J.S. ARCEENNE";522253;"#FF6A00 ";"";""
8566;"U.S. SAESSOLSHEIM";522254;"#ffffff";"#092669";""
8567;"AM.LAIQ. ST MICHEL EVREUX";522256;"#006400";"";""
8568;"F.C. SAULCY";522258;"#FFD41C";"#092669";""
8569;"F. C. OLYMPIQUE DE VIGNEUX";522260;"#dc143c";"#ffffff";""
8570;"A.S. QUETIGNY";522263;"#dc143c";"#ffffff";""
8571;"F.C. STEINBRUNN LE BAS";522265;"#092669";"";""
8572;"U.S. LES RUES VIGNES";522270;"#ffffff";"";""
8573;"A.S. LIVRADAISE";522271;"#092669";"#ffffff";""
8574;"F.C. SCHAFFHOUSE S/ZORN";522272;"#092669";"";""
8575;"U.S. HOUPPEVILLAISE";522276;"#FFD41C";"#000000";""
8576;"C.OUV.S. MARLES LOZINGHEM";522277;"#092669";"#ffffff";""
8577;"ST.O. CALAIS";522280;"#092669";"";""
8578;"A.S. SCHILLERSDORF";522282;"#dc143c";"#ffffff";""
8579;"A.S. BAULAY";522283;"#ffffff";"#dc143c";""
8580;"C.S.AM.LAIQ. SOUCHEZ";522289;"#006400";"#ffffff";""
8581;"A.S. WEITERSWILLER";522299;"#092669";"#ffffff";""
8582;"F.C. OBERMORSCHWILLER";522300;"#FFD41C";"#000000";""
8583;"F.C. DE CHAMPS";522302;"#092669";"#000000";""
8584;"A.S. DE LAIZE";522304;"#dc143c";"";""
8585;"A.S. DE MOISSEY";522306;"#006400";"";""
8586;"ECQUEVILLY E.F.C.";522315;"#dc143c";"#ffffff";""
8587;"U.S. HESINGUE";522321;"#092669";"";""
8588;"A.S. BISCHOFFSHEIM";522322;"#dc143c";"";""
8589;"U.S. LARIANS ET MUNA";522330;"#ffffff";"#006400";""
8590;"J.S. BOUSSE";522333;"#dc143c";"#000000";""
8591;"LA LYRE S. VANTOUX";522338;"#FFD41C";"#092669";""
8592;"U.S. ANNECY LE VIEUX";522340;"#092669";"#ffffff";""
8593;"A.S. PARMELAN VILLAZ";522349;"#4b0082";"#ffffff";""
8594;"HASNON FOOTBALL CLUB";522353;"#006400";"#ffffff";""
8595;"AV. HAMBYE";522366;"#092669";"";""
8596;"A.S. CESSEY S/TILLE";522380;"#dc143c";"";""
8597;"CTE S. PEYRILHAC";522385;"#dc143c";"#FFD41C";""
8598;"ENT.S. AUNAC";522387;"#006400";"#ffffff";""
8599;"U.S. TOUTES AIDES NOELLET";522392;"#092669";"#ffffff";""
8600;"J.L. KNUTANGE";522405;"#FFD41C";"#000000";""
8601;"U.S. FONTAINE NOTRE DAME";522411;"#006400";"";""
8602;"F.C. HERSIN";522412;"#006400";"#000000";""
8603;"J.S. NOINTOTAISE";522424;"#FF6A00 ";"#000000";""
8604;"A. M. C. VAL D AUGE";522427;"#092669";"#ffffff";""
8605;"VOLTIGEURS DE LA RIVIERE";522429;"#FFD41C";"#000000";""
8606;"A.S. MONTMIRAIL MELLERAY";522430;"#006400";"#ffffff";""
8607;"U.S. ST OUEN ST BIEZ";522432;"";"";""
8608;"AV.S. PLENALTAIS PLAINE HAUTE";522438;"#ffffff";"#092669";""
8609;"U.S. ST ARMEL";522441;"#dc143c";"#ffffff";""
8610;"ET.S. LA MADELEINE ST GUEN";522443;"#dc143c";"#000000";""
8611;"A.S. TREMUSON";522445;"#dc143c";"#000000";""
8612;"JOYEUSE GARDE FORESTOISE";522446;"#092669";"";""
8613;"U.S. ST-ROCH";522450;"#092669";"";""
8614;"VAILLANTE ST FREGANT KERNOUES";522451;"#FFD41C";"#000000";""
8615;"GOULIEN SP.";522452;"#092669";"";""
8616;"LES TRICOLORES DE LANDREVARZEC";522453;"#092669";"#ffffff";""
8617;"A.S. LE TOUR DU PARC";522455;"#dc143c";"#000000";""
8618;"AM.S. DU GUERMEUR LOMENER";522456;"#ffffff";"#dc143c";""
8619;"A.S. MEUCONNAISE";522457;"#092669";"#FFD41C";""
8620;"C.S. PLUNERET";522459;"#4b0082";"";""
8621;"ENT.S. REMUNGOL";522460;"#dc143c";"#ffffff";""
8622;"ET.S. ST AVE";522461;"#000000";"";""
8623;"A.S. ST BARTHELEMY";522462;"#FFD41C";"#000000";""
8624;"ESP. ST JACUT LES PINS";522463;"#006400";"";""
8625;"LES AJONCS D OR ST NOLFF";522464;"#dc143c";"";""
